sp_key,n_cells_br
Fis-21818,1
Fis-21960,520
Fis-22150,321
Fis-22151,173
Fis-22157,368
Fis-22160,143
Fis-22162,179
Fis-22163,226
Fis-22164,235
Fis-22168,199
Fis-22177,195
Fis-22182,380
Fis-22184,279
Fis-22185,198
Fis-22187,418
Fis-22193,141
Fis-22194,300
Fis-22195,187
Fis-22199,100
Fis-22208,355
Fis-22213,155
Fis-22214,343
Fis-22215,1298
Fis-22216,753
Fis-22217,206
Fis-22218,131
Fis-22219,36
Fis-22220,16
Fis-22222,134
Fis-22224,205
Fis-22225,166
Fis-22232,155
Fis-22234,26
Fis-22235,97
Fis-22236,101
Fis-22259,184
Fis-22263,57
Fis-22283,166
Fis-22295,143
Fis-22297,234
Fis-22305,173
Fis-22701,247
Fis-22703,218
Fis-22704,234
Fis-22711,534
Fis-22718,517
Fis-22720,229
Fis-22721,253
Fis-22722,164
Fis-22723,134
Fis-22729,151
Fis-22735,1220
Fis-22736,294
Fis-22738,761
Fis-22739,425
Fis-22740,114
Fis-22744,392
Fis-22747,3470
Fis-22748,21
Fis-22759,312
Fis-22764,387
Fis-22765,779
Fis-22766,1309
Fis-22768,804
Fis-22773,127
Fis-22777,3205
Fis-22781,238
Fis-22787,226
Fis-22798,283
Fis-22800,143
Fis-22802,167
Fis-22804,318
Fis-22810,309
Fis-22817,26
Fis-22818,232
Fis-22819,319
Fis-22825,223
Fis-22827,179
Fis-22831,166
Fis-22832,3330
Fis-22833,3228
Fis-22834,676
Fis-22836,1878
Fis-22841,30
Fis-22845,402
Fis-22850,1277
Fis-22852,822
Fis-22856,262
Fis-22857,146
Fis-22858,271
Fis-22861,295
Fis-22864,2602
Fis-22867,399
Fis-22874,1269
Fis-22880,338
Fis-22895,321
Fis-22897,1123
Fis-22900,3315
Fis-22904,78
Fis-22906,150
Fis-22908,474
Fis-22909,69
Fis-22910,111
Fis-22911,219
Fis-22915,1250
Fis-22916,972
Fis-22917,1168
Fis-22919,618
Fis-22920,983
Fis-22921,1170
Fis-22922,2731
Fis-22932,212
Fis-22935,825
Fis-22938,34
Fis-22946,284
Fis-22949,1035
Fis-22950,42
Fis-22954,436
Fis-22957,298
Fis-22963,526
Fis-22966,280
Fis-22970,1422
Fis-22972,135
Fis-22973,99
Fis-22974,324
Fis-22975,139
Fis-22976,195
Fis-22977,220
Fis-22983,248
Fis-22996,966
Fis-22998,339
Fis-23002,213
Fis-23004,3
Fis-23005,38
Fis-23013,263
Fis-23014,448
Fis-23019,332
Fis-23030,881
Fis-23037,257
Fis-23039,144
Fis-23041,210
Fis-23043,226
Fis-23045,322
Fis-23050,420
Fis-23051,246
Fis-23054,1074
Fis-23056,261
Fis-23058,138
Fis-23059,328
Fis-23060,330
Fis-23061,1237
Fis-23064,391
Fis-23065,164
Fis-23066,415
Fis-23067,165
Fis-23069,312
Fis-23071,3370
Fis-23073,144
Fis-23075,397
Fis-23076,137
Fis-23077,381
Fis-23078,167
Fis-23085,50
Fis-23087,726
Fis-23096,172
Fis-23098,135
Fis-23099,111
Fis-23101,643
Fis-23103,102
Fis-23104,197
Fis-23106,451
Fis-23107,340
Fis-23113,535
Fis-23122,506
Fis-23123,438
Fis-23127,230
Fis-23129,490
Fis-23130,119
Fis-23135,73
Fis-23148,217
Fis-23149,468
Fis-23150,26
Fis-23157,1512
Fis-23161,703
Fis-23165,532
Fis-23167,756
Fis-23185,2713
Fis-23187,229
Fis-23188,215
Fis-23189,282
Fis-23190,327
Fis-23192,1081
Fis-23194,283
Fis-23198,637
Fis-23213,64
Fis-23215,63
Fis-23218,157
Fis-23219,294
Fis-23222,3334
Fis-23237,1847
Fis-23241,17
Fis-23242,71
Fis-23244,320
Fis-23249,110
Fis-23255,370
Fis-23262,852
Fis-23264,487
Fis-23265,400
Fis-23273,1062
Fis-23274,787
Fis-23275,302
Fis-23277,3219
Fis-23278,124
Fis-23283,264
Fis-23290,197
Fis-23291,88
Fis-23293,137
Fis-23314,297
Fis-23318,131
Fis-23322,292
Fis-23323,206
Fis-23327,158
Fis-23330,91
Fis-23333,146
Fis-23334,128
Fis-23335,186
Fis-23343,125
Fis-23345,21
Fis-23346,163
Fis-23349,313
Fis-23351,226
Fis-23362,136
Fis-23367,124
Fis-23368,129
Fis-23374,228
Fis-23375,158
Fis-23377,300
Fis-23388,286
Fis-23396,230
Fis-23397,184
Fis-23401,131
Fis-23403,307
Fis-23404,86
Fis-23405,113
Fis-23408,257
Fis-23414,338
Fis-23420,22
Fis-23425,1
Fis-23428,150
Fis-23431,229
Fis-23438,156
Fis-23453,269
Fis-23454,2857
Fis-23455,204
Fis-23460,160
Fis-23464,124
Fis-23465,1234
Fis-23466,206
Fis-23467,343
Fis-23472,745
Fis-23473,210
Fis-23474,277
Fis-23481,212
Fis-23482,99
Fis-23484,2289
Fis-23485,217
Fis-23486,337
Fis-23488,193
Fis-23494,133
Fis-23498,263
Fis-23499,164
Fis-23500,150
Fis-23501,189
Fis-23502,220
Fis-23508,113
Fis-23515,817
Fis-23525,187
Fis-23526,161
Fis-23529,147
Fis-23530,11
Fis-23531,212
Fis-23532,185
Fis-23533,159
Fis-23534,109
Fis-23537,129
Fis-23546,36
Fis-23548,118
Fis-23550,1096
Fis-23551,685
Fis-23554,168
Fis-23555,711
Fis-23556,800
Fis-23560,21
Fis-23561,143
Fis-23562,1216
Fis-23573,160
Fis-23574,66
Fis-23576,165
Fis-23577,175
Fis-23578,254
Fis-23579,314
Fis-23580,3372
Fis-23582,357
Fis-23604,813
Fis-23605,3267
Fis-23606,316
Fis-23607,5
Fis-23611,279
Fis-23612,272
Fis-23615,16
Fis-23621,299
Fis-23622,323
Fis-23625,288
Fis-23633,128
Fis-23634,305
Fis-23635,522
