taxon_id,taxon_authority,n_ds,ms_merge,sp_cat,mdl_seq,scientific_name,common_name,worms_id,redlist_code,extrisk_code,er_score,is_mmpa,is_mbta,is_bcc,worms_is_marine,worms_is_extinct,esa_code,esa_source,is_ok
273363,worms,1,NA,fish,9307,Chaetodon tinkeri,Hawaiian butterflyfish,273363,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
1593661,worms,1,NA,fish,9308,Pycnochromis delta,Deep reef chromis,1593661,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
277865,worms,1,NA,fish,9309,Cirrhilabrus rubrimarginatus,Red-margined wrasse,277865,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
280980,worms,1,NA,fish,9310,Halicmetus reticulatus,Marbled seabat,280980,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
275925,worms,1,NA,fish,9311,Trichopsetta melasma,NA,275925,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
275261,worms,1,NA,fish,9312,Canthigaster ocellicincta,Shy toby,275261,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
209308,worms,1,NA,fish,9313,Apogon crassiceps,Transparent cardinalfish,209308,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
276801,worms,1,NA,fish,9314,Platax boersii,Golden spadefish,276801,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
274979,worms,1,NA,fish,9316,Polyipnus aquavitus,Aquavit hatchetfish,274979,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
377528,worms,1,NA,invertebrate,9317,Metapenaeopsis tarawensis,NA,377528,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE
377565,worms,1,NA,invertebrate,9318,Penaeopsis eduardoi,NA,377565,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
210623,worms,1,NA,invertebrate,9319,Coralliocaris superba,NA,210623,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
208734,worms,1,NA,invertebrate,9320,Dardanus guttatus,blue-knee hermit crab,208734,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
210401,worms,1,NA,invertebrate,9321,Parapenaeus investigatoris,explorer rose shrimp,210401,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE
