taxon_scientific_name,iucn_code,worms_id
Sicyopterus eudentatus,EN,277429
Sicyopterus rapa,EN,277437
Amblycirrhitus earnshawi,EN,277567
Bathygobius burtoni,EN,277622
Eleotris annobonensis,EN,277794
Rhynchobatus australiae,CR,278217
Rhynchobatus laevis,CR,278218
Rhynchobatus luebberti,CR,278219
Aetobatus flagellum,EN,278241
Aetobatus ocellatus,EN,278243
Pastinachus solocirostris,EN,278252
Takifugu chinensis,CR,278414
Aetomylaeus milvus,EN,278474
Eviota raja,EN,278605
Halaelurus buergeri,EN,278697
Parioglossus galzini,CR,278748
Callogobius amikami,EN,278873
Neopomacentrus aquadulcis,EN,278910
Triakis acutipinna,EN,279057
Triakis maculata,CR,279058
Triakis scyllium,EN,279059
Coilia mystus,EN,279082
Coilia nasus,EN,279083
Hypomesus transpacificus,EN,279423
Acyrtus pauciradiatus,EN,279506
Akko rossi,EN,279533
Atlantoraja castelnaui,CR,279816
Atlantoraja cyclophora,EN,279817
Atlantoraja platana,EN,279818
Azurina eupalama,CR,279851
Bahaba taipingensis,CR,279858
Bifax lacinia,EN,279911
Brachionichthys hirsutus,CR,279954
Colpichthys hubbsi,EN,280368
Elacatinus atronasus,EN,280597
Elacatinus jarocho,EN,280609
Elacatinus pridisi,EN,280618
Eusphyra blochii,EN,280757
Evermannia erici,EN,280760
Evynnis cardinalis,EN,280766
Galaxias postvectis,EN,280813
Glaucostegus granulatus,CR,280873
Glaucostegus halavi,CR,280874
Glaucostegus typus,CR,280875
Hemitriakis japanica,EN,281042
Hemitriakis leucoperiptera,CR,281043
Lamiopsis temminckii,EN,281270
Larimichthys crocea,CR,281271
Lucifuga lucayana,EN,281412
Lucifuga simile,CR,281413
Lupinoblennius paivai,EN,281442
Nasolamia velox,EN,281637
Neochanna cleaveri,EN,281677
Neosalanx reganius,EN,281703
Ogilbia galapagosensis,EN,281848
Ogilbichthys ferocis,EN,281860
Paraclinus magdalenae,EN,282026
Paraclinus walkeri,CR,282037
Paralabrax albomaculatus,EN,282051
Platyrhina sinensis,EN,282279
Sanopus reticulatus,EN,282661
Sanopus splendidus,EN,282662
Springeratus polyporatus,EN,282848
Stereolepis gigas,CR,282884
Sympterygia acuta,CR,282916
Tomicodon abuelorum,EN,282984
Urolophus orarius,EN,283106
Urotrygon microphthalmum,CR,283117
Urotrygon reticulata,CR,283121
Urotrygon venezuelae,EN,283125
Zapteryx brevirostris,EN,283212
Madracis decactis,CR,287107
Colpophyllia breviserialis,CR,289696
Diploria labyrinthiformis,CR,289826
Eusmilia fastigiata,CR,289939
Helioseris cucullata,CR,290083
Mussismilia braziliensis,CR,290421
Mussismilia harttii,EN,290422
Mycetophyllia danaana,CR,290425
Acharax alinae,CR,293238
Carcharhinus cerdale,CR,298424
Gymnura tentaculata,CR,298791
Gymnura zonura,EN,298792
Stegostoma tigrinum,EN,313100
Eptatretus taiwanae,EN,313257
Parahucho perryi,CR,320038
Tetronarce puelcha,CR,321912
Opisthoteuthis chathamensis,CR,342093
Opisthoteuthis mero,EN,342098
Cirroctopus hochbergi,EN,342259
Phalacrocorax neglectus,EN,343947
Pterodroma atrata,EN,343973
Phoebastria irrorata,CR,344105
Pseudobulweria aterrima,CR,344109
Camptostemon philippinensis,EN,344743
Antrisocopia prehensilis,CR,346103
Paracyclopia naessi,CR,354170
Speleoithona bermudensis,CR,355686
Nanocopia minuta,CR,356708
Calidris tenuirostris,EN,366592
Podiceps gallardoi,CR,366611
Charadrius obscurus,CR,366852
Haliotis gigantea,EN,367891
Acropora subulata,EN,368478
Chlidonias albostriatus,EN,379000
Diomedea dabbenena,CR,379381
Diomedea sanfordi,EN,379386
Sousa plumbea,EN,383586
Montipora carinata,EN,1287508
Styracura schmardae,EN,1297575
Coelatura essoensis,CR,1304043
Hanleyella henrici,EN,1316306
Gigantidas taiwanensis,EN,1316515
Shinkailepas tollmanni,EN,1323079
Hypoplectrus liberte,CR,1340380
Mussismilia leptophylla,CR,1344208
Fregetta maoriana,CR,1348503
Leptonotus vincentae,CR,1353406
Ecsenius springeri,EN,1355466
Desbruyeresia armata,EN,1363656
Desbruyeresia costata,EN,1363657
Provanna fenestrata,EN,1363658
Porites hadramauti,CR,1378070
Neostethus geminus,EN,1384808
Centrophorus lesliei,EN,1385217
Centrophorus longipinnis,EN,1385219
Carettochelys insculpta,EN,1389958
Fontitrygon ukpam,CR,1420096
Shinkailepas myojinensis,EN,388339
Chaetodontoplus vanderloosi,EN,388572
Iphinopsis boucheti,CR,388942
Lurifax japonicus,CR,389163
Eviota ocellifer,CR,389332
Holohalaelurus favus,EN,390077
Rhinobatos jimbaranensis,CR,390098
Rhinobatos penggali,EN,390099
Thyasira southwardae,CR,390215
Pyropelta yamato,CR,395924
Bruceiella wareni,CR,396134
Desbruyeresia marisindica,EN,396135
Gigantidas horikoshii,CR,396253
Waisiuconcha helios,CR,396614
Haliotis discus,EN,397082
Cephaloscyllium albipinnum,CR,398241
Squalus chloroculus,EN,398269
Squatina legnota,CR,398278
Dipturus canutus,EN,398291
Himantura leoparda,EN,398328
Hippocampus waleananus,CR,398436
Halichoeres burekae,EN,398572
Elacatinus phthirophagus,EN,398635
Takifugu plagiocellatus,EN,398704
Lutra sumatrana,EN,404089
Galaxias johnstoni,CR,404141
Assiminea pecos,EN,404991
Omphalotropis hieroglyphica,EN,405046
Diomedea amsterdamensis,EN,405082
Diomedea antipodensis,EN,405084
Siphonaria compressa,CR,405091
Tomichia tristis,CR,405099
Pterodroma caribbaea,CR,405106
Parapinnixa affinis,EN,408290
Fundulus persimilis,EN,422555
Grus americana,EN,422602
Conus fernandesi,EN,429015
Acropora papillare,EN,430650
Acropora spathulata,EN,430654
Acropora variolosa,EN,430657
Meandrina brasiliensis,CR,430665
Montipora cocosensis,EN,430667
Pocillopora ankeli,EN,430671
