sci_ds,scientific_name_dataset,scientific_name_dataset_url,category,region,common_name,nmfs_esa,nmfs_esa_all,is_mmpa,scientific_name_accepted,worms_id,taxon_rank,is_marine,worms_id_url
Squalus acanthias,Squalus acanthias,https://www.fisheries.noaa.gov/species/atlantic-spiny-dogfish,Fish; Sharks; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Squalus acanthias,105923,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105923
Stenella frontalis,Stenella frontalis,https://www.fisheries.noaa.gov/species/atlantic-spotted-dolphin,Dolphins & Porpoises,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,TRUE,Stenella frontalis,137108,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137108
Morone saxatilis,Morone saxatilis,https://www.fisheries.noaa.gov/species/atlantic-striped-bass,Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Morone saxatilis,151179,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151179
Acipenser oxyrinchus oxyrinchus,Acipenser oxyrinchus oxyrinchus,https://www.fisheries.noaa.gov/species/atlantic-sturgeon,Fish; Protected Fish,; New England/Mid-AtlanticRegion; Southeast,NA,EN,EN,FALSE,Acipenser oxyrinchus,151802,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151802
Spisula solidissima,Spisula solidissima,https://www.fisheries.noaa.gov/species/atlantic-surfclam,"Invertebrates; Clams, Mussels, Oysters; Wild-Caught Seafood",; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Spisula solidissima,156996,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=156996
Acanthocybium solandri,Acanthocybium solandri,https://www.fisheries.noaa.gov/species/atlantic-wahoo,Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast; ; Pacific IslandsRegion; West Coast,NA,LC,LC,FALSE,Acanthocybium solandri,127014,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127014
Lagenorhynchus acutus,Lagenorhynchus acutus,https://www.fisheries.noaa.gov/species/atlantic-white-sided-dolphin,Dolphins & Porpoises,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,TRUE,Leucopleurus acutus,1571853,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1571853
Anarhichas lupus,Anarhichas lupus,https://www.fisheries.noaa.gov/species/atlantic-wolffish,Fish; Groundfish; Wild-Caught Seafood,; New England/Mid-Atlantic,NA,LC,LC,FALSE,Anarhichas lupus,126758,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126758
Thunnus albacares,Thunnus albacares,https://www.fisheries.noaa.gov/species/atlantic-yellowfin-tuna,Fish; Highly Migratory Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast; ; Pacific IslandsRegion; West Coast,NA,LC,LC,FALSE,Thunnus albacares,127027,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127027
Berardius bairdii,Berardius bairdii,https://www.fisheries.noaa.gov/species/bairds-beaked-whale,Whales,; AlaskaRegion; West Coast,NA,LC,LC,TRUE,Berardius bairdii,242608,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=242608
Pterapogon kauderni,Pterapogon kauderni,https://www.fisheries.noaa.gov/species/banggai-cardinalfish,Fish; Protected Fish; Reef Fish,; Foreign,NA,LC,LC,FALSE,Pterapogon kauderni,282494,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=282494
