is_ok,component,common_name,scientific_name,redlist_code_max,extrisk_code,er_score,is_mmpa,is_mbta,is_bcc,worms_is_marine,worms_is_extinct,n_datasets,taxon_authority,taxon_id,model_id
TRUE,bird,Greater Scaup,Aythya marila,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22680398,17621
TRUE,bird,Greater Yellowlegs,Tringa melanoleuca,NT,IUCN:NT,2,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22693231,18059
TRUE,bird,Grey Plover,Pluvialis squatarola,VU,IUCN:VU,5,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22693749,17926
TRUE,bird,Grey-cheeked Thrush,Catharus minimus,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,22708658,18135
TRUE,bird,Grey-crowned Rosy-Finch,Leucosticte tephrocotis,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,22720482,17828
TRUE,bird,Grey-tailed Tattler,Tringa brevipes,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22693289,18055
TRUE,bird,Guadalupe Murrelet,Synthliboramphus hypoleucus,EN,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,3,botw,62101215,NA
TRUE,bird,Harlequin Duck,Histrionicus histrionicus,LC,FWS:LC,10,FALSE,TRUE,FALSE,TRUE,NA,1,botw,22680423,17786
TRUE,bird,Hawaiian Petrel,Pterodroma sandwichensis,EN,FWS:EN,100,FALSE,TRUE,FALSE,TRUE,NA,3,botw,22698017,NA
TRUE,bird,Heermann's Gull,Larus heermanni,NT,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22694296,17816
TRUE,bird,Hermit Thrush,Catharus guttatus,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,22708667,17669
TRUE,bird,Horned Grebe,Podiceps auritus,VU,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22696606,17927
TRUE,bird,Horned Puffin,Fratercula corniculata,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22694931,17748
TRUE,bird,Hudsonian Godwit,Limosa haemastica,VU,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22693154,18144
TRUE,bird,Ivory Gull,Pagophila eburnea,NT,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22694473,18148
TRUE,bird,Killdeer,Charadrius vociferus,NT,IUCN:NT,2,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22693777,17682
TRUE,bird,King Eider,Somateria spectabilis,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22680409,18013
TRUE,bird,Kittlitz's Murrelet,Brachyramphus brevirostris,NT,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,3,botw,22694875,NA
TRUE,bird,Laughing Gull,Larus atricilla,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,3,botw,22694455,NA
TRUE,bird,Laysan Albatross,Phoebastria immutabilis,NT,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22698365,17916
TRUE,bird,Leach's Storm-petrel,Hydrobates leucorhous,VU,IUCN:VU,5,FALSE,FALSE,FALSE,TRUE,NA,1,botw,132438298,18262
TRUE,bird,Least Auklet,Aethia pusilla,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22694921,17562
TRUE,bird,Least Sandpiper,Calidris minutilla,NT,IUCN:NT,2,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22693396,17652
TRUE,bird,Least Storm-petrel,Hydrobates microsoma,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,22698485,17796
TRUE,bird,Least Tern,Sternula antillarum,EN,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,3,botw,22694673,NA
TRUE,bird,Lesser Black-backed Gull,Larus fuscus,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22694373,17814
TRUE,bird,Lesser Yellowlegs,Tringa flavipes,VU,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22693235,18056
TRUE,bird,Little Auk,Alle alle,LC,FWS:LC,10,FALSE,TRUE,FALSE,TRUE,NA,1,botw,22694837,17571
TRUE,bird,Loggerhead Shrike,Lanius ludovicianus,EN,IUCN:EN,25,FALSE,FALSE,FALSE,NA,NA,1,botw,22705042,18373
TRUE,bird,Long-billed Dowitcher,Limnodromus scolopaceus,NT,IUCN:NT,2,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22693348,17830
TRUE,bird,Long-tailed Duck,Clangula hyemalis,VU,FWS:LC,10,FALSE,TRUE,FALSE,TRUE,NA,1,botw,22680427,17690
TRUE,bird,Long-tailed Jaeger,Stercorarius longicaudus,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22694251,18025
TRUE,bird,Magnificent Frigatebird,Fregata magnificens,LC,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22697724,17750
TRUE,bird,Mallard,Anas platyrhynchos,LC,FWS:LC,10,FALSE,TRUE,FALSE,TRUE,NA,1,botw,22680186,17581
