taxon_id,scientific_name,sp_cat,ax_status,n_shared,n_am_only,n_ax_only,mean_am,mean_ax,cor,mean_am_all,mean_ax_all,delta,jaccard,delta_PA,delta_AT,delta_AK,delta_other,delta_GA,n_shared_PA,n_shared_AT,n_shared_AK,n_shared_other,n_shared_GA
282365,Pronotogrammus martinicensis,fish,ok,20642,76,50627,56.52,79.53,0.342,56.475,56.953,23.01,0.289,NA,14.768,NA,31.919,26.464,NA,6579,NA,1036,13027
272731,Protomyctophum crockeri,fish,ok,3590,0,68558,79.756,91.187,0.231,79.756,52.32,11.431,0.05,11.431,NA,NA,NA,NA,3590,NA,0,0,NA
218275,Pseudanthias cooperi,fish,ok,3508,18706,3381,35.408,24.03,0.333,33.164,18.489,-11.378,0.137,-11.378,NA,NA,NA,NA,3508,NA,NA,NA,NA
277116,Pinjalo lewisi,fish,absent_in_mask,0,275,0,NA,NA,NA,1.676,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
127163,Polymixia nobilis,fish,ok,30492,89,38644,46.738,66.909,0.35,46.731,48.071,20.172,0.44,NA,14.498,NA,49.362,26.269,NA,17178,NA,705,12609
217607,Polyipnus omphus,fish,absent_in_mask,0,25188,0,NA,NA,NA,19.227,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
274997,Polyipnus spinifer,fish,ok,0,640,26724,NA,NA,NA,12.446,10.178,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
277175,Pomacentrus taeniometopon,fish,ok,2756,2523,5719,23.868,14.647,0.18,20.386,9.023,-9.221,0.251,-9.221,NA,NA,NA,NA,2756,NA,NA,NA,NA
276287,Prionotus paralatus,fish,ok,8326,224,11761,64.159,84.763,0.536,63.178,62.344,20.604,0.41,NA,NA,NA,42.215,18.268,NA,NA,NA,812,7514
282283,Plectobranchus evides,fish,ok,9389,305,6438,56.816,67.738,0.624,56.044,53.083,10.922,0.582,8.831,NA,23.042,28.043,NA,8158,NA,805,426,NA
293706,Plagiotremus laudandus,fish,ok,3142,15537,3640,28.681,16.091,0.278,28.096,10.199,-12.59,0.141,-12.59,NA,NA,NA,NA,3142,NA,NA,NA,NA
254501,Podothecus accipenserinus,fish,ok,88855,40457,32267,46.828,53.912,0.529,51.56,43.133,7.084,0.55,41.097,NA,4.782,19.634,NA,3396,NA,79988,5471,NA
158839,Polyipnus asteroides,fish,ok,51967,6773,18961,78.098,49.379,-0.058,77.173,52.345,-28.719,0.669,NA,-35.194,NA,52.499,-16.953,NA,34583,NA,279,17105
282298,Plicofollis nella,fish,absent_in_mask,0,682,0,NA,NA,NA,29.31,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
277164,Pomacentrus philippinus,fish,ok,3850,12854,6727,29.866,12.498,0.244,28.458,7.949,-17.369,0.164,-17.369,NA,NA,NA,NA,3850,NA,NA,NA,NA
218267,Plectropomus maculatus,fish,absent_in_mask,0,1285,0,NA,NA,NA,2.814,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
276822,Plesiops verecundus,fish,absent_in_mask,0,17430,0,NA,NA,NA,21.924,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
127300,Polymetme corythaeola,fish,ok,42628,18482,139610,41.974,62.778,0.413,34.505,33.413,20.804,0.212,-15.498,23.76,21.347,57.281,32.33,5946,22048,2772,499,11363
272729,Protomyctophum beckeri,fish,ok,22229,34598,31283,80.586,55.734,0.834,57.752,30.633,-24.852,0.252,-24.852,NA,NA,NA,NA,22229,NA,NA,NA,NA
1577348,Platybelone pterura,fish,ok,92314,9587,108409,33.915,43.659,-0.006,37.171,36.62,9.744,0.439,9.744,NA,NA,NA,NA,92314,0,NA,0,0
218545,Plectorhinchus vittatus,fish,ok,2171,8583,4371,21.866,17.306,0.426,19.178,8.971,-4.56,0.144,-4.56,NA,NA,NA,NA,2171,NA,NA,NA,NA
217937,Plectrypops lima,fish,ok,17168,21225,35370,37.215,27.089,0.446,38.025,14.887,-10.126,0.233,-10.126,NA,NA,NA,NA,17168,0,NA,0,0
