worms_id,botw_id,redlist_code,worms_id_url,scientific_names_dataset,scientific_names_dataset_url,scientific_name_accepted,taxon_rank,common_name,taxonomic_group,entity_descriptions,lead_agency,fws_esa,fws_esa_all,is_bcc
1020567,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1020567,Gobiesox nudus,https://ecos.fws.gov/ecp/species/11145,Arcos nudus,Species,Riverine Clingfish,Fishes,NA,FWS,LC,LC,FALSE
477319,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=477319,Arctocephalus townsendi,https://ecos.fws.gov/ecp/species/6991,Arctocephalus philippii townsendi,Subspecies,Guadalupe fur seal,Mammals,Wherever found,NMFS,TN,TN,FALSE
225986,22698182,VU,https://www.marinespecies.org/aphia.php?p=taxdetails&id=225986,Ardenna bulleri,https://ecos.fws.gov/ecp/species/11939,Ardenna bulleri,Species,Buller's Shearwater,Birds,NA,FWS,LC,LC,TRUE
1674258,22698195,VU,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1674258,Ardenna creatopus,https://ecos.fws.gov/ecp/species/9598,Ardenna creatopus,Species,Pink-footed Shearwater,Birds,Wherever found,FWS,LC,LC,TRUE
137202,22698209,NT,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137202,Ardenna grisea,https://ecos.fws.gov/ecp/species/10417,Ardenna grisea,Species,Sooty Shearwater,Birds,Wherever found,FWS,LC,LC,FALSE
1457465,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1457465,Arenaria interpres morinella,https://ecos.fws.gov/ecp/species/10633,Arenaria interpres morinella,Subspecies,Ruddy Turnstone,Birds,NA,FWS,LC,LC,TRUE
366869,22693341,LC,https://www.marinespecies.org/aphia.php?p=taxdetails&id=366869,Arenaria melanocephala,https://ecos.fws.gov/ecp/species/10557,Arenaria melanocephala,Species,Black Turnstone,Birds,NA,FWS,LC,LC,TRUE
740630,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=740630,Artemia monica,https://ecos.fws.gov/ecp/species/6085,Artemia monica,Species,Mono Lake brine shrimp,Crustaceans,Wherever found,FWS,LC,LC,FALSE
287943,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=287943,Astreopora cucullata,https://ecos.fws.gov/ecp/species/9347,Astreopora cucullata,Species,No common name,Corals,Wherever found,NMFS,LC,LC,FALSE
277421,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=277421,Awaous guamensis,https://ecos.fws.gov/ecp/species/11345,Awaous guamensis,Species,"Pacific River Goby, `O`Opu Nakea",Fishes,NA,FWS,LC,LC,FALSE
137086,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137086,Balaena mysticetus,https://ecos.fws.gov/ecp/species/4615,Balaena mysticetus,Species,Bowhead whale,Mammals,Wherever found,NMFS,EN,EN,FALSE
137088,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137088,Balaenoptera borealis,https://ecos.fws.gov/ecp/species/4753,Balaenoptera borealis,Species,Sei whale,Mammals,Wherever found,NMFS,EN,EN,FALSE
137089,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137089,Balaenoptera edeni,https://ecos.fws.gov/ecp/species/10787,Balaenoptera edeni,Species,Gulf of Mexico Bryde's Whale,Mammals,NA,NMFS,EN,EN,FALSE
137090,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137090,Balaenoptera musculus,https://ecos.fws.gov/ecp/species/2192,Balaenoptera musculus,Species,Blue whale,Mammals,Wherever found,NMFS,EN,EN,FALSE
137091,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137091,Balaenoptera physalus,https://ecos.fws.gov/ecp/species/2875,Balaenoptera physalus,Species,Finback whale,Mammals,Wherever found,NMFS,EN,EN,FALSE
1508554,22679500,LC,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1508554,Bonasa umbellus,https://ecos.fws.gov/ecp/species/9396,Bonasa umbellus,Species,Ruffed Grouse,Birds,Wherever found,FWS,LC,LC,FALSE
