scientific_name,reason
Cheiloprion labiatus,iucn_range_outside_us_eez
Chelarctus aureus,iucn_range_outside_us_eez
Chelidonichthys kumu,iucn_range_outside_us_eez
Chelmon rostratus,iucn_range_outside_us_eez
Chelonodontops laticeps,iucn_range_outside_us_eez
Chelonodontops patoca,iucn_range_outside_us_eez
Chiloconger dentatus,iucn_range_outside_us_eez
Chimaera lignaria,iucn_range_outside_us_eez
Chimaera macrospina,iucn_range_outside_us_eez
Chimaera phantasma,iucn_range_outside_us_eez
Chirocentrus dorab,iucn_range_outside_us_eez
Chlopsis apterus,iucn_range_outside_us_eez
Chlorophthalmus acutifrons,iucn_range_outside_us_eez
Chlorophthalmus albatrossis,iucn_range_outside_us_eez
Chlorophthalmus mento,iucn_range_outside_us_eez
Chlorophthalmus nigromarginatus,iucn_range_outside_us_eez
Chlorurus bowersi,iucn_range_outside_us_eez
Chlorurus capistratoides,iucn_range_outside_us_eez
Chlorurus gibbus,iucn_range_outside_us_eez
Chlorurus oedema,iucn_range_outside_us_eez
Chlorurus sordidus,iucn_range_outside_us_eez
Chlorurus strongylocephalus,iucn_range_outside_us_eez
Chlorurus troschelii,iucn_range_outside_us_eez
Choerodon anchorago,iucn_range_outside_us_eez
Choerodon cephalotes,iucn_range_outside_us_eez
Choerodon fasciatus,iucn_range_outside_us_eez
Choerodon graphicus,iucn_range_outside_us_eez
Choerodon gymnogenys,iucn_range_outside_us_eez
Choerodon robustus,iucn_range_outside_us_eez
Choerodon sugillatum,iucn_range_outside_us_eez
Choerodon zamboangae,iucn_range_outside_us_eez
Choerodon zosterophorus,iucn_range_outside_us_eez
Choeroichthys suillus,iucn_range_outside_us_eez
Chriolepis semisquamata,iucn_range_outside_us_eez
Chriolepis zebra,iucn_range_outside_us_eez
Chromis axillaris,iucn_range_outside_us_eez
Chromis chrysura,iucn_range_outside_us_eez
Chromis cinerascens,iucn_range_outside_us_eez
Chromis flavicauda,iucn_range_outside_us_eez
Chromis fumea,iucn_range_outside_us_eez
Chromis limbaughi,iucn_range_outside_us_eez
Chromis opercularis,iucn_range_outside_us_eez
Chromis scotochiloptera,iucn_range_outside_us_eez
Chromis xanthochira,iucn_range_outside_us_eez
Chromis yamakawai,iucn_range_outside_us_eez
Chrysiptera brownriggii,iucn_range_outside_us_eez
Chrysiptera cyanea,iucn_range_outside_us_eez
Chrysiptera flavipinnis,iucn_range_outside_us_eez
Chrysiptera galba,iucn_range_outside_us_eez
