aphia,species,phylum,class,rec_usa,cells_usa,min_year_usa,max_year_usa,in_v9,has_rng,mp_sdm
549068,Metaphoxus frequens,Arthropoda,Malacostraca,58,34,1955,2003,FALSE,FALSE,NA
333515,Gymnonereis crosslandi,Annelida,Polychaeta,40,34,1976,2019,FALSE,FALSE,NA
451187,Pseudophilomedes ferulana,Arthropoda,Ostracoda,47,34,1972,1999,FALSE,FALSE,NA
371057,Grinnellia americana,Rhodophyta,Florideophyceae,266,34,1903,2003,FALSE,FALSE,NA
120193,Pseudomma truncatum,Arthropoda,Malacostraca,43,34,1883,1987,FALSE,FALSE,available
158245,Haloclava producta,Cnidaria,Hexacorallia,106,34,1964,1986,FALSE,FALSE,NA
374120,Silvetia compressa,Ochrophyta,Phaeophyceae,932,34,2001,2023,FALSE,FALSE,NA
568045,Heterocentrotus mamillatus,Echinodermata,Echinoidea,418,34,1902,2017,FALSE,FALSE,available
234851,Alitta virens,Annelida,Polychaeta,67,34,1873,2001,FALSE,FALSE,available
834720,Halitholus yoldiaearcticae,Cnidaria,Hydrozoa,52,34,1972,1987,FALSE,FALSE,not available
421143,Balanus calidus,Arthropoda,Thecostraca,34,34,1885,1995,FALSE,FALSE,NA
373037,Aglaothamnion boergesenii,Rhodophyta,Florideophyceae,51,34,1944,2007,FALSE,FALSE,NA
127995,Sarsicytheridea punctillata,Arthropoda,Ostracoda,35,34,1905,1905,FALSE,FALSE,not available
878521,Ameritella tenella,Mollusca,Bivalvia,34,34,1875,2019,FALSE,FALSE,available
742166,Leodice americana,Annelida,Polychaeta,39,34,2003,2004,FALSE,FALSE,NA
214222,Herposiphonia secunda,Rhodophyta,Florideophyceae,59,34,2000,2008,FALSE,FALSE,available
130514,Leitoscoloplos mammosus,Annelida,Polychaeta,146,34,1978,1988,FALSE,FALSE,available
129844,Laetmonice filicornis,Annelida,Polychaeta,49,34,1955,2005,FALSE,FALSE,available
371938,Petrospongium rugosum,Ochrophyta,Phaeophyceae,79,34,2001,2022,FALSE,FALSE,NA
613429,Phaeocystis cordata,Haptophyta,Coccolithophyceae,170,34,2006,2021,FALSE,FALSE,NA
103885,Dendrodoa pulchella,Chordata,Ascidiacea,40,34,1958,2000,FALSE,FALSE,NA
558283,Hermundura americana,Annelida,Polychaeta,51,34,1980,2004,FALSE,FALSE,NA
345322,Acanthohaustorius spinosus,Arthropoda,Malacostraca,67,34,1953,1985,FALSE,FALSE,NA
360051,Parvocalanus crassirostris,Arthropoda,Copepoda,131,34,1953,1998,FALSE,FALSE,available
132251,Sycon ciliatum,Porifera,Calcarea,127,33,1877,2016,FALSE,FALSE,available
334327,Owenia collaris,Annelida,Polychaeta,47,33,1971,2006,FALSE,FALSE,NA
247537,Mesotanais vadicola,Arthropoda,Malacostraca,77,33,1977,1985,FALSE,FALSE,NA
171508,Hyalonema (Oonema) bianchoratum,Porifera,Hexactinellida,332,33,1965,2013,FALSE,FALSE,NA
113110,Pullenia bulloides,Foraminifera,Globothalamea,157,33,1971,1997,FALSE,FALSE,available
376073,Pycnococcus provasolii,Chlorophyta,Pyramimonadophyceae,129,33,1978,2022,FALSE,FALSE,NA
421040,Mexieulepis weberi,Annelida,Polychaeta,44,33,1970,2007,FALSE,FALSE,NA
332700,Cirriformia spirabrancha,Annelida,Polychaeta,82,33,1919,2001,FALSE,FALSE,NA
233084,Takayama pulchella,Myzozoa,Dinophyceae,116,33,1996,2021,FALSE,FALSE,available
841200,Tripos contortus,Myzozoa,Dinophyceae,33,33,1976,2015,FALSE,FALSE,available
238377,Cistenides granulata,Annelida,Polychaeta,46,33,1976,2016,FALSE,FALSE,available
139036,Cuvierina columnella,Mollusca,Gastropoda,68,33,1941,2020,FALSE,FALSE,available
