dataset_id,category,scenario,year_min,year_max,depth,title,summary,variables
so_baseline_2000_2019_depthmin,so,baseline,2000,2019,depthmin,Bio-Oracle Salinity [depthMin] Baseline 2000-2019.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
so_max (Maximum Salinity, PSU)
so_ltmax (Long-term maximum Salinity, PSU)
so_mean (Average Salinity, PSU)
so_ltmin (Long-term minimum Salinity, PSU)
so_min (Minimum Salinity, PSU)
so_range (Range Salinity, PSU)
","so_ltmax, so_ltmin, so_max, so_mean, so_min, so_range"
so_baseline_2000_2019_depthsurf,so,baseline,2000,2019,depthsurf,Bio-Oracle Salinity [depthSurf] Baseline 2000-2019.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
so_max (Maximum Salinity, PSU)
so_ltmax (Long-term maximum Salinity, PSU)
so_mean (Average Salinity, PSU)
so_ltmin (Long-term minimum Salinity, PSU)
so_min (Minimum Salinity, PSU)
so_range (Range Salinity, PSU)
","so_ltmax, so_ltmin, so_max, so_mean, so_min, so_range"
siconc_baseline_2000_2020_depthsurf,siconc,baseline,2000,2020,depthsurf,Bio-Oracle SeaIceCover [depthSurf] Baseline 2000-2020.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
siconc_max (Maximum SeaIceCover, 1)
siconc_ltmax (Long-term maximum SeaIceCover, 1)
siconc_mean (Average SeaIceCover, 1)
siconc_ltmin (Long-term minimum SeaIceCover, 1)
siconc_min (Minimum SeaIceCover, 1)
siconc_range (Range SeaIceCover, 1)
","siconc_ltmax, siconc_ltmin, siconc_max, siconc_mean, siconc_min, siconc_range"
sithick_baseline_2000_2020_depthsurf,sithick,baseline,2000,2020,depthsurf,Bio-Oracle SeaIceThickness [depthSurf] Baseline 2000-2020.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
sithick_max (Maximum SeaIceThickness, m)
sithick_ltmax (Long-term maximum SeaIceThickness, m)
sithick_mean (Average SeaIceThickness, m)
sithick_ltmin (Long-term minimum SeaIceThickness, m)
sithick_min (Minimum SeaIceThickness, m)
sithick_range (Range SeaIceThickness, m)
","sithick_ltmax, sithick_ltmin, sithick_max, sithick_mean, sithick_min, sithick_range"
swd_baseline_2000_2019_depthmax,swd,baseline,2000,2019,depthmax,Bio-Oracle SeaWaterDirection [depthMax]Baseline 2000-2019.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
swd_max (Maximum SeaWaterDirection, degree)
swd_ltmax (Long-term maximum SeaWaterDirection, degree)
swd_mean (Average SeaWaterDirection, degree)
swd_ltmin (Long-term minimum SeaWaterDirection, degree)
swd_min (Minimum SeaWaterDirection, degree)
swd_range (Range SeaWaterDirection, degree)
","swd_ltmax, swd_ltmin, swd_max, swd_mean, swd_min, swd_range"
swd_baseline_2000_2019_depthmean,swd,baseline,2000,2019,depthmean,Bio-Oracle SeaWaterDirection [depthMean]Baseline 2000-2019.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
swd_max (Maximum SeaWaterDirection, degree)
swd_ltmax (Long-term maximum SeaWaterDirection, degree)
swd_mean (Average SeaWaterDirection, degree)
swd_ltmin (Long-term minimum SeaWaterDirection, degree)
swd_min (Minimum SeaWaterDirection, degree)
swd_range (Range SeaWaterDirection, degree)
","swd_ltmax, swd_ltmin, swd_max, swd_mean, swd_min, swd_range"
swd_baseline_2000_2019_depthmin,swd,baseline,2000,2019,depthmin,Bio-Oracle SeaWaterDirection [depthMin]Baseline 2000-2019.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
swd_max (Maximum SeaWaterDirection, degree)
swd_ltmax (Long-term maximum SeaWaterDirection, degree)
swd_mean (Average SeaWaterDirection, degree)
swd_ltmin (Long-term minimum SeaWaterDirection, degree)
swd_min (Minimum SeaWaterDirection, degree)
swd_range (Range SeaWaterDirection, degree)
","swd_ltmax, swd_ltmin, swd_max, swd_mean, swd_min, swd_range"
swd_baseline_2000_2019_depthsurf,swd,baseline,2000,2019,depthsurf,Bio-Oracle SeaWaterDirection [depthSurf]Baseline 2000-2019.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
swd_max (Maximum SeaWaterDirection, degree)
swd_ltmax (Long-term maximum SeaWaterDirection, degree)
swd_mean (Average SeaWaterDirection, degree)
swd_ltmin (Long-term minimum SeaWaterDirection, degree)
swd_min (Minimum SeaWaterDirection, degree)
swd_range (Range SeaWaterDirection, degree)
","swd_ltmax, swd_ltmin, swd_max, swd_mean, swd_min, swd_range"
sws_baseline_2000_2019_depthmax,sws,baseline,2000,2019,depthmax,Bio-Oracle SeaWaterSpeed [depthMax]Baseline 2000-2019.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
sws_max (Maximum SeaWaterSpeed, m s**-1)
sws_ltmax (Long-term maximum SeaWaterSpeed, m s**-1)
sws_mean (Average SeaWaterSpeed, m s**-1)
sws_ltmin (Long-term minimum SeaWaterSpeed, m s**-1)
sws_min (Minimum SeaWaterSpeed, m s**-1)
sws_range (Range SeaWaterSpeed, m s**-1)
","sws_ltmax, sws_ltmin, sws_max, sws_mean, sws_min, sws_range"
sws_baseline_2000_2019_depthmean,sws,baseline,2000,2019,depthmean,Bio-Oracle SeaWaterSpeed [depthMean]Baseline 2000-2019.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
sws_max (Maximum SeaWaterSpeed, m s**-1)
sws_ltmax (Long-term maximum SeaWaterSpeed, m s**-1)
sws_mean (Average SeaWaterSpeed, m s**-1)
sws_ltmin (Long-term minimum SeaWaterSpeed, m s**-1)
sws_min (Minimum SeaWaterSpeed, m s**-1)
sws_range (Range SeaWaterSpeed, m s**-1)
","sws_ltmax, sws_ltmin, sws_max, sws_mean, sws_min, sws_range"
