"common_name","scientific_name","also_known_as","category","protected_status","region","species_url"
"Spinner Dolphin","Stenella longirostris",NA,"Dolphins & Porpoises","MMPA Protected; MMPA Depleted; CITES Appendix II; SPAW Annex II","; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/spinner-dolphin"
"Spiny Angelshark","Squatina guggenheim",NA,"Fish; Protected Fish; Sharks","ESA Endangered - Foreign","; Foreign","https://www.fisheries.noaa.gov/species/spiny-angelshark"
"Spotted Seal","Phoca largha",NA,"Seals & Sea Lions","ESA Threatened - Foreign; MMPA Protected; MMPA Depleted","; Alaska","https://www.fisheries.noaa.gov/species/spotted-seal"
"Staghorn Coral","Acropora cervicornis",NA,"Invertebrates; Corals","ESA Threatened; CITES Appendix II; SPAW Annex II","; Southeast","https://www.fisheries.noaa.gov/species/staghorn-coral"
"Steelhead","Oncorhynchus mykiss",NA,"Fish; Protected Fish","ESA Endangered; ESA Threatened; ESA Threatened; ESA Threatened; ESA Threatened; ESA Threatened; ESA Threatened; ESA Threatened; ESA Threatened; ESA Threatened; ESA Threatened; ESA Experimental Population","; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/steelhead"
"Stejneger's Beaked Whale","Mesoplodon stejnegeri",NA,"Whales","MMPA Protected; CITES Appendix II","; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/stejnegers-beaked-whale"
"Steller Sea Lion","Eumetopias jubatus",NA,"Seals & Sea Lions","ESA Endangered; MMPA Protected; MMPA Depleted","; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/steller-sea-lion"
"Striped Dolphin","Stenella coeruleoalba",NA,"Dolphins & Porpoises","MMPA Protected; CITES Appendix II; SPAW Annex II","; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/striped-dolphin"
"Striped Marlin","Kajikia audax","Nairagi, A‘u, Makijki, Barred marlin, Spikefish, Striped swordfish","Fish; Highly Migratory Fish; Wild-Caught Seafood",NA,"; Pacific IslandsRegion; West Coast","https://www.fisheries.noaa.gov/species/striped-marlin"
"Striped Smoothhound Shark","Mustelus fasciatus",NA,"Fish; Protected Fish; Sharks","ESA Endangered - Foreign","; Foreign","https://www.fisheries.noaa.gov/species/striped-smoothhound-shark"
"Sugar Kelp","Saccharina latissima","Sea belt, Devil's apron","Other; Farmed Seafood; Seaweed",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/sugar-kelp"
"Summer Flounder","Paralichthys dentatus","Flounder, Fluke, Northern fluke, Hirame","Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/summer-flounder"
